Frame	CPU Total (ms)	CPU Boids (ms)	CPU Data Update (ms)	CPU Render Dispatch (ms)	GPU Render (ms)
373	2.6254	2.5605	0.0276	0.0337	0.13136
374	2.6566	2.2027	0.0218	0.0339	0.130752
375	2.659	2.1483	0.0213	0.0493	0.128544
376	2.2943	2.0579	0.0212	0.0482	0.127936
377	2.242	2.0532	0.0212	0.048	0.13136
378	2.1222	2.0649	0.0211	0.0313	0.131008
379	2.1096	2.0521	0.0212	0.0271	0.13104
380	2.1201	2.1014	0.0213	0.026	0.131264
381	2.1109	2.0771	0.0221	0.0281	0.131968
382	2.1955	2.0658	0.0213	0.0476	0.12848
383	2.1684	2.0442	0.0212	0.047	0.130912
384	2.1435	2.0577	0.0212	0.0399	0.130848
385	2.1063	2.0433	0.0211	0.0299	0.132512
386	2.1144	2.0487	0.0211	0.0269	0.13232
387	2.0989	2.252	0.0222	0.027	0.131904
388	2.1043	2.0485	0.0221	0.0262	0.131264
389	2.3524	2.1245	0.0497	0.0507	0.128672
390	2.1145	2.1123	0.0214	0.0327	0.131776
391	2.2516	2.0524	0.0213	0.0497	0.130976
392	2.2127	2.163	0.0214	0.0505	0.131424
393	2.1366	2.2356	0.0211	0.0429	0.130944
394	2.266	2.2512	0.0214	0.0542	0.131392
395	2.3108	2.1579	0.0221	0.0384	0.132512
396	2.3498	2.0399	0.0211	0.0497	0.128352
397	2.2273	2.0353	0.0211	0.0332	0.132384
398	2.0962	2.0751	0.0212	0.027	0.13248
399	2.0899	2.1227	0.0212	0.026	0.130976
400	2.1402	2.713	0.0213	0.0327	0.131808
401	2.1792	2.0517	0.0218	0.027	0.131808
402	2.8176	2.0406	0.022	0.0535	0.128416
403	2.1125	2.0325	0.0212	0.0283	0.13088
404	2.0972	2.0526	0.0211	0.0271	0.132384
405	2.0862	2.0347	0.0212	0.0254	0.130912
406	2.1081	2.0341	0.0212	0.0257	0.131936
407	2.0878	2.5163	0.0215	0.0248	0.131904
408	2.0876	2.0555	0.0211	0.025	0.130464
409	2.6085	2.0298	0.0212	0.0464	0.128256
410	2.1147	2.0914	0.0212	0.0279	0.131424
411	2.0847	2.0418	0.0211	0.0259	0.132224
412	2.1452	2.0254	0.0211	0.0253	0.13152
413	2.0954	2.0264	0.0212	0.0253	0.131232
414	2.081	2.8428	0.0246	0.0265	0.130592
415	2.0807	2.0275	0.0212	0.0255	0.13136
416	2.9509	2.0552	0.0218	0.0542	0.128
417	2.0878	2.035	0.0214	0.0281	0.13056
418	2.1108	2.0221	0.0211	0.026	0.131904
419	2.0959	2.021	0.0211	0.0298	0.13232
420	2.0765	2.32	0.0213	0.0256	0.131328
421	2.075	2.0788	0.0214	0.0256	0.130816
422	2.404	2.0243	0.0212	0.0422	0.128288
423	2.1732	2.0161	0.0219	0.0467	0.131744
424	2.0837	2.0168	0.0212	0.0275	0.130848
425	2.0711	2.0179	0.0212	0.0253	0.130592
426	2.0708	2.0137	0.0219	0.0255	0.130848
427	2.0716	2.5504	0.0263	0.0253	0.130688
428	2.068	2.0579	0.0214	0.0251	0.131008
429	2.6547	2.0004	0.021	0.0508	0.128288
430	2.1527	1.9965	0.0212	0.0488	0.130976
431	2.0578	1.997	0.0212	0.0274	0.132096
432	2.051	1.9997	0.0216	0.026	0.13072
433	2.0525	1.9984	0.0212	0.0256	0.132384
434	2.0533	2.4479	0.0222	0.0249	0.131712
435	2.0538	2.2045	0.0217	0.0255	0.130912
436	2.5504	2.201	0.0221	0.0512	0.128736
437	2.2655	2.1987	0.022	0.0294	0.131776
438	2.2614	2.1867	0.0216	0.0293	0.130368
439	2.2562	2.2241	0.0215	0.0273	0.13088
440	2.243	2.2345	0.0233	0.0268	0.132032
441	2.2876	2.2029	0.022	0.0305	0.131872
442	2.3213	2.191	0.0215	0.0443	0.128352
443	2.2895	1.9909	0.0212	0.0451	0.127712
444	2.2518	1.998	0.0211	0.0294	0.13264
445	2.0473	2.0278	0.0214	0.0273	0.131968
446	2.0531	2.0172	0.0211	0.0259	0.130592
447	2.0829	2.0149	0.0211	0.0259	0.131264
448	2.0736	2.0451	0.0214	0.0274	0.131008
449	2.0764	2.0016	0.0212	0.0304	0.1312
450	2.1265	2.0002	0.0212	0.0423	0.127968
451	2.0595	2.0152	0.0212	0.0274	0.13136
452	2.0546	2.0044	0.0212	0.0259	0.132256
453	2.0715	2.0197	0.0214	0.027	0.131488
454	2.0593	2.0065	0.0211	0.0259	0.13152
455	2.0776	2.1447	0.0218	0.0269	0.131488
456	2.0599	1.9928	0.0221	0.0251	0.131584
457	2.2282	1.9941	0.0212	0.0416	0.128256
458	2.0548	2.0106	0.0221	0.0287	0.131456
459	2.0499	1.9939	0.0211	0.0268	0.131904
460	2.0674	2.0061	0.0212	0.0266	0.131584
461	2.048	1.9943	0.0211	0.0251	0.130624
462	2.0648	2.5102	0.0254	0.0285	0.13088
463	2.0506	2.1995	0.0233	0.0268	0.131168
464	2.6269	2.1913	0.0217	0.0585	0.127776
465	2.2625	2.1829	0.0219	0.0293	0.131584
